# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	63164
#@/user_id	4232a789-02e2-4ed5-b0bb-ca190859e4b9
a 	啊	c=208 d=0.826959 t=63164
an fen gong you ren 	按份共有人	c=1 d=1.91842e-47 t=63164
an jian 	案件	c=1 d=3.23177e-65 t=63164
an jie 	按揭	c=1 d=5.8402e-57 t=63164
an jie mai fang 	按揭買房	c=1 d=5.86948e-56 t=63164
an jing 	安靜	c=0 d=1.45094e-27 t=63164
an jing huan jing 	安靜環境	c=1 d=1.45821e-26 t=63164
an kang 	安康	c=0 d=2.00706e-50 t=63164
an li 	按理	c=1 d=1 t=57724
an li shuo 	按理說	c=1 d=0.00657159 t=63164
an niu 	按鈕	c=20 d=7.77711e-06 t=63164
an pai 	安排	c=5 d=7.22627e-32 t=63164
an quan 	安全	c=11 d=0.00400597 t=63164
an quan xing 	安全性	c=1 d=1 t=57391
an shi 	按時	c=1 d=3.00352e-57 t=63164
an shi huan 	按時還	c=1 d=3.01852e-56 t=63164
an xia 	按下	c=3 d=8.04348e-20 t=63164
an yi 	安逸	c=5 d=2.50412e-05 t=63164
an zhao 	按照	c=9 d=2.10367e-10 t=63164
an zhe 	按着	c=1 d=4.2068e-20 t=63164
an zhi 	安置	c=1 d=2.51785e-40 t=63164
an zhuang 	安裝	c=25 d=0.311923 t=63164
an zhuang bao 	安裝包	c=1 d=6.66275e-18 t=63164
an zhuo 	安卓	c=4 d=2.90281e-08 t=63164
ao jiao 	傲嬌	c=2 d=2.97093e-08 t=63164
ao jiao mao lian 	傲嬌貓臉	c=1 d=2.9835e-07 t=63164
ao ka mu 	奧卡姆	c=1 d=9.50875e-26 t=63164
ao ye 	熬夜	c=1 d=1.6892e-50 t=63164
ao zhou 	澳洲	c=1 d=2.49975e-14 t=63164
ba 	八	c=6 d=6.15799e-15 t=63164
ba 	吧	c=103 d=0.415615 t=63164
ba 	把	c=150 d=1.01609 t=63164
ba 	爸	c=11 d=7.12319e-05 t=63164
ba ba 	巴巴	c=1 d=7.37374e-05 t=63164
ba ba 	爸爸	c=0 d=1.90593e-30 t=63164
ba ba ma ma 	爸爸媽媽	c=3 d=0.000210084 t=63164
ba bu li ren 	把不理人	c=1 d=1.62528e-08 t=63164
ba da ling 	八達嶺	c=4 d=7.84058e-13 t=63164
ba dian 	八點	c=1 d=9.17545e-18 t=63164
ba fei te 	巴菲特	c=1 d=8.64966e-59 t=63164
ba ge 	八個	c=1 d=5.29287e-16 t=63164
ba gua 	八卦	c=1 d=2.54259e-13 t=63164
ba gua yi lu 	八卦一路	c=1 d=3.2175e-13 t=63164
ba ma 	爸媽	c=2 d=1.89319e-09 t=63164
ba qi 	霸氣	c=2 d=1 t=62127
ba shan she shui 	跋山涉水	c=1 d=6.80197e-26 t=63164
ba shi 	巴氏	c=1 d=1 t=58095
ba shi 	把式	c=0 d=3.14458e-09 t=63164
ba shi san 	八十三	c=1 d=6.47685e-38 t=63164
ba wo 	把握	c=2 d=6.37485e-53 t=63164
ba xi 	巴西	c=1 d=2.80336e-39 t=63164
ba yue 	八月	c=1 d=6.50045e-22 t=63164
bai 	擺	c=6 d=2.08703e-11 t=63164
bai 	白	c=6 d=0.0473589 t=63164
bai 	百	c=2 d=0.0031042 t=63164
bai bai 	拜拜	c=3 d=0.000515692 t=63164
bai bi 	敗筆	c=1 d=8.28227e-19 t=63164
bai bian 	百變	c=1 d=2.48517e-05 t=63164
bai bian bu li qi zong 	百變不離其宗	c=1 d=0.000249763 t=63164
bai bu 	擺佈	c=1 d=1.23982e-29 t=63164
bai de 	擺得	c=0 d=2.56836e-10 t=63164
bai de long 	擺得攏	c=1 d=2.58123e-09 t=63164
bai du 	百度	c=28 d=1.21395e-08 t=63164
bai du jing yan 	百度經驗	c=5 d=1.4797e-14 t=63164
bai du yi xia 	百度一下	c=1 d=1 t=56031
bai du yun 	百度雲	c=2 d=1.55155e-50 t=63164
bai du zhi dao 	百度知道	c=1 d=8.53568e-50 t=63164
bai e luo si 	白俄羅斯	c=2 d=4.40711e-24 t=63164
bai fen bi 	百分比	c=2 d=5.21562e-36 t=63164
bai gei 	白給	c=1 d=3.40579e-35 t=63164
bai gu shi 	擺故事	c=1 d=4.82401e-13 t=63164
bai jin 	白金	c=1 d=3.36617e-15 t=63164
bai jiu 	白酒	c=9 d=6.75837e-20 t=63164
bai jiu gu 	白酒股	c=3 d=5.81461e-20 t=63164
bai jiu gu jia 	白酒股價	c=1 d=6.18342e-22 t=63164
bai kai shui 	白開水	c=1 d=0.000137073 t=63164
bai ke 	百科	c=1 d=9.44815e-39 t=63164
bai ling 	白領	c=1 d=0.0010701 t=63164
bai mao 	白貓	c=1 d=6.93112e-12 t=63164
bai nen 	白嫩	c=1 d=1 t=58097
bai nian 	百年	c=1 d=5.49056e-65 t=63164
bai se 	白色	c=5 d=1.62523 t=63164
bai tian 	白天	c=2 d=1.09256e-43 t=63164
bai tuo 	擺脫	c=1 d=3.09493e-56 t=63164
bai wan 	掰彎	c=1 d=7.07211e-43 t=63164
bai wan 	百萬	c=1 d=4.29018e-45 t=63164
bai wan ying bang 	百萬英鎊	c=1 d=1.64436e-57 t=63164
bai ye xiao he 	敗也蕭何	c=1 d=3.1369e-38 t=63164
bai yin 	白銀	c=2 d=3.48607e-15 t=63164
ban 	半	c=1 d=6.93916e-55 t=63164
ban 	搬	c=1 d=5.23469e-33 t=63164
ban 	版	c=6 d=0.0031273 t=63164
ban 	班	c=1 d=5.27275e-31 t=63164
ban 	般	c=2 d=6.67182e-35 t=63164
ban 	辦	c=12 d=0.00927901 t=63164
ban ben 	版本	c=7 d=0.2334 t=63164
ban ben hao 	版本號	c=1 d=1 t=62667
ban bu ban 	辦不辦	c=1 d=6.75862e-39 t=63164
ban fa 	辦法	c=7 d=0.0232145 t=63164
ban ge 	辦個	c=1 d=5.49185e-09 t=63164
ban ge yue 	半個月	c=1 d=0.529935 t=63164
ban gong 	辦公	c=2 d=2.0266e-16 t=63164
ban gong lou 	辦公樓	c=2 d=0.0026189 t=63164
ban gong ruan jian 	辦公軟件	c=1 d=2.0255e-39 t=63164
ban gong shi 	辦公室	c=3 d=4.58001e-20 t=63164
ban jia 	搬家	c=4 d=0.000156885 t=63164
ban ka 	辦卡	c=2 d=3.19801e-51 t=63164
ban li 	辦理	c=1 d=1.04778e-49 t=63164
ban lv 	伴侶	c=0 d=3.61086e-18 t=63164
ban mian 	版面	c=1 d=3.34358e-24 t=63164
ban nian 	半年	c=2 d=1.9175e-12 t=63164
ban quan 	版權	c=2 d=3.33325e-17 t=63164
ban shi 	辦事	c=1 d=1.05267e-45 t=63164
ban tian 	半天	c=1 d=1 t=54941
ban tou ming 	半透明	c=1 d=3.39711e-05 t=63164
ban yue 	半月	c=0 d=1.73137e-47 t=63164
ban zhao dai 	辦招待	c=1 d=4.75867e-29 t=63164
bang 	幫	c=6 d=4.22357e-08 t=63164
bang 	棒	c=3 d=1.00173e-12 t=63164
bang dao 	幫到	c=1 d=4.5595e-26 t=63164
bang ding 	綁定	c=5 d=1.6705e-08 t=63164
bang ding le 	綁定了	c=1 d=9.20077e-21 t=63164
bang mang 	幫忙	c=2 d=6.93321e-37 t=63164
bang ni 	幫你	c=1 d=3.397e-34 t=63164
bang zhe 	幫着	c=2 d=9.68599e-08 t=63164
bang zhu 	幫助	c=10 d=0.1764 t=63164
bao 	包	c=6 d=0.00301004 t=63164
bao 	寶	c=1 d=4.61337e-35 t=63164
bao 	暴	c=1 d=2.2431e-63 t=63164
bao an 	寶安	c=1 d=1.10951e-46 t=63164
bao ban 	報班	c=1 d=0.501576 t=63164
bao bei 	寶貝	c=1 d=9.49769e-41 t=63164
bao biao 	爆表	c=1 d=5.3138e-33 t=63164
bao cao 	爆操	c=1 d=1 t=62887
bao chi 	保持	c=13 d=0.0815963 t=63164
bao chou 	報酬	c=4 d=0.0295997 t=63164
bao chou qing qiu quan 	報酬請求權	c=1 d=6.30277e-41 t=63164
bao cun 	保存	c=14 d=1.80756e-06 t=63164
bao cuo 	報錯	c=8 d=0.0675424 t=63164
bao da 	暴打	c=1 d=2.70786e-43 t=63164
bao dao 	報道	c=2 d=0.00240549 t=63164
bao die 	暴跌	c=1 d=1.17403e-64 t=63164
bao ding 	保定	c=2 d=1.89871e-45 t=63164
bao fa 	爆發	c=2 d=1.6885e-27 t=63164
bao fei 	保費	c=2 d=0.00155699 t=63164
bao gao 	報告	c=1 d=0.0489009 t=63164
bao ge ban 	報個班	c=1 d=4.66365e-27 t=63164
bao guan 	保管	c=2 d=4.45843e-27 t=63164
bao guan hao 	保管好	c=1 d=6.75747e-37 t=63164
bao guang 	暴光	c=1 d=0.000287295 t=63164
bao guang 	曝光	c=1 d=0.000291637 t=63164
bao guang 	爆光	c=1 d=0.000290183 t=63164
bao han 	包含	c=6 d=4.75138e-11 t=63164
bao hu 	保護	c=13 d=0.371996 t=63164
bao hu li du 	保護力度	c=1 d=4.15759e-58 t=63164
bao hu san 	保護傘	c=1 d=1 t=62877
bao kuo 	包括	c=8 d=0.000108366 t=63164
bao liu 	保留	c=5 d=1.50007e-06 t=63164
bao mi 	保密	c=0 d=1.76755e-55 t=63164
bao ming fei 	報名費	c=1 d=4.46299e-39 t=63164
bao mu 	保姆	c=1 d=3.56377e-39 t=63164
bao shai 	曝曬	c=1 d=1 t=58415
bao shi 	保溼	c=8 d=1.32385e-32 t=63164
bao shou 	保守	c=1 d=2.30584e-64 t=63164
bao xian 	保險	c=5 d=1.34752e-09 t=63164
bao xian fa 	保險法	c=2 d=1.16334e-37 t=63164
bao xian fei 	保險費	c=1 d=0.00151098 t=63164
bao xian jin 	保險金	c=1 d=5.31182e-58 t=63164
bao xian ren 	保險人	c=2 d=0.00157264 t=63164
bao xiao 	報銷	c=11 d=0.634448 t=63164
bao ya 	齙牙	c=1 d=4.76936e-26 t=63164
bao yang 	保養	c=3 d=1.91619e-05 t=63164
bao yang de hao 	保養的好	c=1 d=1 t=61453
bao ying 	報應	c=1 d=1.37045e-31 t=63164
bao yu 	暴雨	c=1 d=9.00726e-65 t=63164
bao zha 	爆炸	c=2 d=5.11883e-05 t=63164
bao zhang 	保障	c=3 d=0.232236 t=63164
bao zhao 	爆照	c=1 d=8.41459e-29 t=63164
bao zhe 	抱着	c=2 d=1.62666e-18 t=63164
bao zheng 	保證	c=4 d=1.4854e-08 t=63164
bao zheng ren 	保證人	c=1 d=0.612816 t=63164
bao zhu 	保住	c=1 d=2.50793e-23 t=63164
bao zhu 	包住	c=6 d=3.52842e-10 t=63164
bao zhuang 	包裝	c=1 d=2.21505e-62 t=63164
bei 	倍	c=1 d=2.64784e-44 t=63164
bei 	北	c=7 d=1.67235e-05 t=63164
bei 	唄	c=4 d=2.4754e-16 t=63164
bei 	盃	c=2 d=0.000133021 t=63164
bei 	背	c=4 d=1.75157e-06 t=63164
bei 	被	c=70 d=0.513627 t=63164
bei bu 	北部	c=0 d=2.24013e-19 t=63164
bei chu shu 	被除數	c=1 d=2.12892e-66 t=63164
bei ci 	被辭	c=1 d=6.30169e-39 t=63164
bei dan ci 	背單詞	c=3 d=1.32381e-06 t=63164
bei dian 	杯墊	c=1 d=0.000131041 t=63164
bei dong 	被動	c=4 d=3.59453e-43 t=63164
bei dong shou yi 	被動收益	c=1 d=4.33773e-57 t=63164
bei fang 	北方	c=2 d=1.08909e-05 t=63164
bei fang kou yin 	北方口音	c=1 d=0.000109455 t=63164
bei fang ren 	北方人	c=1 d=5.26989e-53 t=63164
bei fen 	備份	c=2 d=4.66697e-06 t=63164
bei hou 	背後	c=1 d=1 t=59671
bei jing 	北京	c=5 d=7.03764e-05 t=63164
bei jing 	背景	c=11 d=5.80586e-05 t=63164
bei jing se 	背景色	c=5 d=1.57117 t=63164
bei jing shi jian 	北京時間	c=1 d=2.10666e-60 t=63164
bei jing zhi shu 	背景指數	c=1 d=1.92613e-06 t=63164
bei ju 	杯具	c=1 d=3.24808e-36 t=63164
bei ren 	被人	c=1 d=0.000792752 t=63164
bei tou 	被偷	c=1 d=5.53838e-20 t=63164
bei wang 	備忘	c=2 d=7.18289e-20 t=63164
bei zhan 	北站	c=1 d=1.64385e-24 t=63164
bei zhu 	備註	c=1 d=0.205975 t=63164
bei zi 	杯子	c=4 d=0.00012909 t=63164
bei zi 	被子	c=1 d=2.24051e-20 t=63164
ben 	奔	c=1 d=4.0599e-43 t=63164
ben 	本	c=11 d=3.43125e-05 t=63164
ben cao gang mu 	本草綱目	c=1 d=1 t=56466
ben chan pin 	本產品	c=1 d=0.000426457 t=63164
ben dan 	笨蛋	c=1 d=0.0387742 t=63164
ben di 	本地	c=8 d=1.01183e-07 t=63164
ben di ku 	本地庫	c=1 d=1 t=59764
ben di ren 	本地人	c=2 d=1.12482e-52 t=63164
ben ji 	本機	c=2 d=1.98511 t=57693
ben ji 	本級	c=1 d=3.10251e-26 t=63164
ben jin 	本金	c=13 d=2.59543e-44 t=63164
ben ke 	本科	c=2 d=1.87398e-36 t=63164
ben ke sheng 	本科生	c=2 d=2.20565e-12 t=63164
ben lai 	本來	c=26 d=5.62505e-05 t=63164
ben quan 	本權	c=2 d=0.259602 t=63164
ben ren 	本人	c=11 d=1.93071e-26 t=63164
ben ren ni 	本人你	c=1 d=6.39367e-33 t=63164
ben shen 	本身	c=14 d=0.0118412 t=63164
ben shi 	本事	c=5 d=8.76659e-29 t=63164
ben shu 	本書	c=0 d=2.97261e-30 t=63164
ben ti 	本題	c=1 d=1.33062e-37 t=63164
ben wen 	本文	c=6 d=5.3683e-06 t=63164
ben wen ne 	本文呢	c=1 d=4.67333e-22 t=63164
ben xi 	本息	c=3 d=1.32921e-37 t=63164
ben xing 	本性	c=1 d=7.49921e-27 t=63164
ben yi 	本意	c=3 d=1.82376 t=63164
ben zhi 	本職	c=3 d=0.00180897 t=63164
ben zhi 	本質	c=3 d=0.00181803 t=63164
ben zi 	本子	c=1 d=1.93908e-26 t=63164
beng kui 	崩潰	c=1 d=1 t=57546
bi 	幣	c=2 d=1.56282e-39 t=63164
bi 	彼	c=1 d=8.37717e-06 t=63164
bi 	比	c=45 d=0.57695 t=63164
bi 	筆	c=0 d=2.33346e-58 t=63164
bi 	逼	c=4 d=8.61853e-09 t=63164
bi 	閉	c=1 d=4.28435e-29 t=63164
bi ci bi ci 	彼此彼此	c=1 d=6.26706e-33 t=63164
bi de 	彼得	c=0 d=0.00581343 t=63164
bi de lin qi 	彼得林奇	c=5 d=0.117439 t=63164
bi dui 	比對	c=1 d=1 t=57164
bi er 	比爾	c=1 d=4.48918e-49 t=63164
bi feng gang 	避風港	c=5 d=0.00631391 t=63164
bi ge 	逼格	c=3 d=0.000177774 t=63164
bi gong bi jing 	畢恭畢敬	c=1 d=2.66392e-27 t=63164
bi guan 	閉關	c=1 d=2.31984e-47 t=63164
bi ji 	筆記	c=22 d=0.128986 t=63164
bi ji ben 	筆記本	c=5 d=3.47706e-05 t=63164
bi jiang 	必將	c=1 d=3.15423e-44 t=63164
bi jiao 	比較	c=66 d=0.965171 t=63164
bi jiao gui 	比較貴	c=1 d=1.7156e-56 t=63164
bi jiao hao 	比較好	c=1 d=2.48509e-33 t=63164
bi jiao kou 	比較摳	c=1 d=2.27546e-55 t=63164
bi jiao xiao 	比較小	c=1 d=1.04632e-62 t=63164
bi jin 	逼近	c=1 d=1.40028e-49 t=63164
bi jing 	畢竟	c=29 d=0.0111158 t=63164
bi jing shi 	畢竟是	c=1 d=2.77792e-20 t=63164
bi kai 	避開	c=1 d=2.4607e-64 t=63164
bi li 	比例	c=10 d=0.00089481 t=63164
bi mao 	鼻毛	c=1 d=7.09065e-15 t=63164
bi men zao che 	閉門造車	c=1 d=2.36759e-22 t=63164
bi mian 	避免	c=3 d=1.0165e-16 t=63164
bi ni 	比你	c=1 d=8.46569e-12 t=63164
bi ran 	必然	c=7 d=0.167797 t=63164
bi ru 	比如	c=42 d=0.505435 t=63164
bi sai 	比賽	c=1 d=1.23196e-13 t=63164
bi sheng 	必勝	c=2 d=0.00171327 t=63164
bi shi 	鄙視	c=1 d=0.00282287 t=63164
bi suo 	比索	c=1 d=5.88066e-49 t=63164
bi te 	比特	c=0 d=3.61628e-65 t=63164
bi te bi 	比特幣	c=9 d=8.68739e-22 t=63164
bi ti 	鼻涕	c=1 d=1 t=60625
bi xu 	必需	c=1 d=3.42356e-08 t=63164
bi xu 	必須	c=47 d=1.007 t=63164
bi xu de 	必須的	c=1 d=1.42735e-39 t=63164
bi xu pin 	必需品	c=1 d=3.72261e-52 t=63164
bi ya di 	比亞迪	c=1 d=6.12066e-49 t=63164
bi yao 	必要	c=9 d=0.0210136 t=63164
bi yao zhi chu 	必要支出	c=1 d=0.211189 t=63164
bi ye 	畢業	c=16 d=6.74364e-05 t=63164
bi ye ban 	畢業班	c=1 d=4.11062e-42 t=63164
bi ye ji 	畢業季	c=3 d=3.38526e-19 t=63164
bi ye sheng 	畢業生	c=2 d=2.69169e-31 t=63164
bi yi niao 	比翼鳥	c=2 d=2.06274e-15 t=63164
bi you yi de 	必有一得	c=1 d=4.50784e-39 t=63164
bi zhe 	筆者	c=2 d=2.92125e-48 t=63164
bi zhi 	壁紙	c=4 d=5.87063e-35 t=63164
bi zhi 	幣值	c=0 d=1.76515e-39 t=63164
bi zi 	鼻子	c=2 d=4.66285e-25 t=63164
bi zi ji 	比自己	c=1 d=2.96599e-26 t=63164
bian 	扁	c=2 d=1.05489e-11 t=63164
bian 	編	c=2 d=2.78852e-06 t=63164
bian 	變	c=6 d=8.53014e-13 t=63164
bian 	遍	c=1 d=9.78167e-06 t=63164
bian 	邊	c=11 d=0.675812 t=63164
bian cheng 	編程	c=21 d=0.0471227 t=63164
bian cheng 	變成	c=14 d=0.00917833 t=63164
bian de 	變得	c=8 d=0.0963276 t=63164
bian dong 	變動	c=1 d=3.82217e-39 t=63164
bian geng 	變更	c=3 d=1.43924e-19 t=63164
bian gua 	變卦	c=1 d=3.53624e-36 t=63164
bian hao 	編號	c=2 d=1.9802 t=58919
bian hua 	變化	c=6 d=0.501886 t=63164
bian ji 	編輯	c=11 d=3.98655e-05 t=63164
bian ji qi 	編輯器	c=3 d=1.01218e-17 t=63164
bian jiao 	邊角	c=1 d=1 t=62964
bian jing 	邊境	c=1 d=5.97907e-09 t=63164
bian kuang 	邊框	c=3 d=0.000145549 t=63164
bian lan 	邊欄	c=1 d=1.20154e-13 t=63164
bian le 	變了	c=2 d=5.69213e-48 t=63164
bian li 	遍歷	c=8 d=0.329298 t=63164
bian liang 	變量	c=10 d=1.84535e-05 t=63164
bian liang ma 	變量嗎	c=1 d=1 t=58696
bian ma 	編碼	c=4 d=4.39893e-16 t=63164
bian ping 	扁平	c=0 d=1.60163e-13 t=63164
bian ping hua 	扁平化	c=2 d=1.60966e-12 t=63164
bian qiang 	變強	c=1 d=1.68341e-39 t=63164
bian se 	變色	c=2 d=2.34538e-21 t=63164
bian shi 	便是	c=1 d=7.15657e-65 t=63164
bian xian 	變現	c=2 d=1.81983e-44 t=63164
bian xie 	便攜	c=4 d=8.92864e-35 t=63164
bian yu 	便於	c=2 d=0.0327124 t=63164
bian yuan 	邊緣	c=1 d=2.32347e-36 t=63164
biao 	標	c=1 d=1 t=55206
biao 	表	c=3 d=1.56938e-08 t=63164
biao da 	表達	c=3 d=2.96041e-13 t=63164
biao da shi 	表達式	c=4 d=2.28155e-10 t=63164
biao dai 	錶帶	c=1 d=4.69037e-06 t=63164
biao dan 	表單	c=4 d=7.14905e-22 t=63164
biao di 	標的	c=3 d=7.85721e-38 t=63164
biao ge 	表格	c=2 d=7.42056e-50 t=63164
biao han 	彪悍	c=0 d=2.1353e-14 t=63164
biao han si 	彪悍死	c=1 d=2.146e-13 t=63164
biao ji 	標記	c=1 d=8.2637e-22 t=63164
biao ming 	表名	c=1 d=1 t=57923
biao ming 	表明	c=2 d=4.09655e-58 t=63164
biao qian 	標籤	c=6 d=7.71708e-11 t=63164
biao qing 	表情	c=7 d=3.09023e-07 t=63164
biao shi 	標識	c=4 d=0.000992781 t=63164
biao shi 	表示	c=36 d=1.64238 t=63164
biao shu 	表述	c=1 d=4.06072e-16 t=63164
biao ti 	標題	c=10 d=3.72072e-13 t=63164
biao tou 	表頭	c=1 d=1 t=58995
biao xian 	表現	c=4 d=2.74178e-13 t=63164
biao yan 	表演	c=1 d=2.08832e-16 t=63164
biao zheng 	表徵	c=2 d=0.103312 t=63164
biao zhu 	標註	c=1 d=2.31393e-18 t=63164
biao zhu ku 	標註庫	c=1 d=1 t=55504
biao zhun 	標準	c=7 d=0.135335 t=63164
biao zhun kan 	標準看	c=1 d=1 t=56823
bie 	別	c=21 d=6.84327e-09 t=63164
bie 	憋	c=2 d=1.05378e-28 t=63164
bie dong 	別動	c=2 d=2.99794e-05 t=63164
bie ge 	別個	c=1 d=1.41661e-09 t=63164
bie ji 	別急	c=1 d=2.38813e-06 t=63164
bie ming 	別名	c=1 d=1 t=59361
bie qu 	別去	c=2 d=3.39885e-11 t=63164
bie ren 	別人	c=40 d=0.752014 t=63164
bie ren de 	別人的	c=1 d=2.37049e-07 t=63164
bie ren jia 	別人家	c=1 d=1.74972e-23 t=63164
bie shu 	別墅	c=1 d=8.98736e-39 t=63164
bie shuo 	別說	c=1 d=3.02437e-20 t=63164
bie wang 	別忘	c=1 d=6.09136e-22 t=63164
bin guan 	賓館	c=2 d=6.64102e-09 t=63164
bing 	丙	c=27 d=0.102686 t=63164
bing 	並	c=30 d=0.1032 t=63164
bing 	兵	c=1 d=1.69156e-37 t=63164
bing 	病	c=1 d=1.98027e-38 t=63164
bing bu 	並不	c=2 d=2.58079e-07 t=63164
bing bu neng 	並不能	c=1 d=6.98984e-23 t=63164
bing bu shi 	並不是	c=2 d=5.8585e-34 t=63164
bing deng 	冰燈	c=4 d=3.42779 t=56375
bing du 	病毒	c=1 d=2.18066e-25 t=63164
bing fa 	併發	c=2 d=0.109585 t=63164
bing fei 	並非	c=2 d=0.214381 t=63164
bing gan 	餅乾	c=3 d=0.000254974 t=63164
bing jian zuo zhan 	並肩作戰	c=1 d=9.67384e-52 t=63164
bing mei you 	並沒有	c=1 d=1 t=62170
bing mu you 	並木有	c=1 d=3.07164e-26 t=63164
bing pai 	並排	c=0 d=4.60689e-31 t=63164
bing pai zou 	並排走	c=1 d=4.62998e-30 t=63164
bing qie 	並且	c=24 d=0.0541412 t=63164
bing xiang 	冰箱	c=1 d=3.3918e-16 t=63164
bing xing 	並行	c=1 d=1 t=55681
bo 	柏	c=0 d=1.9575e-50 t=63164
bo 	波	c=0 d=2.4607e-65 t=63164
bo bao 	播報	c=1 d=4.2038e-41 t=63164
bo bo 	波波	c=0 d=2.80718e-56 t=63164
bo bo tou 	波波頭	c=1 d=2.82125e-55 t=63164
bo dong 	波動	c=1 d=4.8329e-64 t=63164
bo fang 	播放	c=8 d=2.85608e-15 t=63164
bo fang qi 	播放器	c=4 d=2.35803e-15 t=63164
bo fang ruan jian 	播放軟件	c=1 d=3.47944e-22 t=63164
bo ge 	伯格	c=0 d=2.86651e-08 t=63164
bo ge 	博格	c=1 d=1.27056e-23 t=63164
bo he 	薄荷	c=0 d=3.01656e-20 t=63164
bo he se 	薄荷色	c=1 d=3.03168e-19 t=63164
bo jin 	鉑金	c=2 d=3.38305e-15 t=63164
bo ke 	博客	c=11 d=0.00238156 t=63164
bo lang 	波浪	c=1 d=1.16663e-19 t=63164
bo li 	玻璃	c=1 d=6.9706e-20 t=63164
bo li duo xiao 	薄利多銷	c=1 d=1.16496e-61 t=63164
bo shi 	博士	c=3 d=2.15244e-28 t=63164
bu 	不	c=124 d=1.60025 t=63164
bu 	布	c=1 d=2.33274e-24 t=63164
bu 	步	c=4 d=1.07029e-05 t=63164
bu 	部	c=5 d=1.1821e-38 t=63164
bu an yi 	不安逸	c=2 d=1.60523e-09 t=63164
bu ban 	不辦	c=0 d=6.72491e-40 t=63164
bu bei 	不背	c=1 d=1.94145e-11 t=63164
bu bi 	不必	c=2 d=0.0480747 t=63164
bu bi jiao 	不比較	c=1 d=1 t=58565
bu bi yao 	不必要	c=2 d=3.26391e-05 t=63164
bu bian 	不變	c=1 d=1.56639e-15 t=63164
bu bian yu 	不便於	c=1 d=1.09076e-22 t=63164
bu bu 	不不	c=2 d=1.22983e-22 t=63164
bu bu 	步步	c=0 d=6.87618e-37 t=63164
bu bu jing xin 	步步驚心	c=4 d=4.47815e-32 t=63164
bu can yu 	不參與	c=1 d=0.0614212 t=63164
bu cao xin 	不操心	c=1 d=1.08402e-08 t=63164
bu ceng 	不曾	c=1 d=3.58346e-45 t=63164
